Get available dates_REQ:USER_0000:AGESIC:DNIC:Message:2025-05-26T09:27:00.000-03:00,Get available dates_RES:USER_0009:DNIC:AGESIC:Message:2025-05-26T09:42:00.000-03:00,Confirm appointment_REQ:USER_0009:AGESIC:DNIC:Message:2025-05-26T12:07:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-05-26T17:19:00.000-03:00
Get available dates_REQ:USER_0002:AGESIC:DNIC:Message:2025-07-28T12:06:00.000-03:00,Get available dates_RES:USER_0010:DNIC:AGESIC:Message:2025-07-28T12:57:00.000-03:00,Confirm appointment_REQ:USER_0007:AGESIC:DNIC:Message:2025-07-28T16:31:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-07-29T09:17:00.000-03:00,Has judicial records:USER_0015:DNIC:DNPT:Message:2025-07-29T09:47:00.000-03:00,Judicial records response:USER_0022:DNPT:DNIC:Message:2025-07-29T10:20:00.000-03:00,Notify appointment result:USER_0004:DNIC:AGESIC:Message:2025-07-29T11:33:00.000-03:00
Get available dates_REQ:USER_0000:AGESIC:DNIC:Message:2025-08-14T15:46:00.000-03:00,Get available dates_RES:USER_0009:DNIC:AGESIC:Message:2025-08-14T16:06:00.000-03:00,Confirm appointment_REQ:USER_0007:AGESIC:DNIC:Message:2025-08-14T16:36:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-08-14T17:22:00.000-03:00,Has judicial records:USER_0012:DNIC:DNPT:Message:2025-08-15T09:01:00.000-03:00,Judicial records response:USER_0021:DNPT:DNIC:Message:2025-08-15T09:49:00.000-03:00,Notify appointment result:USER_0000:DNIC:AGESIC:Message:2025-08-15T10:01:00.000-03:00
Get available dates_REQ:USER_0003:AGESIC:DNIC:Message:2025-02-03T09:44:00.000-03:00,Get available dates_RES:USER_0008:DNIC:AGESIC:Message:2025-02-03T10:54:00.000-03:00,Confirm appointment_REQ:USER_0006:AGESIC:DNIC:Message:2025-02-03T11:51:00.000-03:00,Confirm appointment_RES:USER_0000:DNIC:AGESIC:Message:2025-02-03T16:31:00.000-03:00,Has judicial records:USER_0015:DNIC:DNPT:Message:2025-02-04T09:29:00.000-03:00,Judicial records response:USER_0018:DNPT:DNIC:Message:2025-02-04T11:57:00.000-03:00,Notify appointment result:USER_0004:DNIC:AGESIC:Message:2025-02-04T12:42:00.000-03:00
Get available dates_REQ:USER_0001:AGESIC:DNIC:Message:2025-08-11T17:12:00.000-03:00,Get available dates_RES:USER_0011:DNIC:AGESIC:Message:2025-08-12T09:13:00.000-03:00,Confirm appointment_REQ:USER_0005:AGESIC:DNIC:Message:2025-08-12T09:31:00.000-03:00,Confirm appointment_RES:USER_0001:DNIC:AGESIC:Message:2025-08-12T11:53:00.000-03:00,Has judicial records:USER_0012:DNIC:DNPT:Message:2025-08-12T12:49:00.000-03:00,Judicial records response:USER_0018:DNPT:DNIC:Message:2025-08-12T13:54:00.000-03:00,Notify appointment result:USER_0002:DNIC:AGESIC:Message:2025-08-12T14:56:00.000-03:00
Get available dates_REQ:USER_0000:AGESIC:DNIC:Message:2025-03-11T14:09:00.000-03:00,Get available dates_RES:USER_0011:DNIC:AGESIC:Message:2025-03-11T15:17:00.000-03:00,Confirm appointment_REQ:USER_0010:AGESIC:DNIC:Message:2025-03-11T15:59:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-03-11T17:16:00.000-03:00,Has judicial records:USER_0012:DNIC:DNPT:Message:2025-03-12T09:15:00.000-03:00,Judicial records response:USER_0020:DNPT:DNIC:Message:2025-03-12T10:41:00.000-03:00,Notify appointment result:USER_0001:DNIC:AGESIC:Message:2025-03-12T14:40:00.000-03:00
Get available dates_REQ:USER_0000:AGESIC:DNIC:Message:2025-03-28T15:15:00.000-03:00,Get available dates_RES:USER_0011:DNIC:AGESIC:Message:2025-03-28T16:15:00.000-03:00,Confirm appointment_REQ:USER_0006:AGESIC:DNIC:Message:2025-03-28T16:31:00.000-03:00,Confirm appointment_RES:USER_0001:DNIC:AGESIC:Message:2025-03-28T16:40:00.000-03:00,Has judicial records:USER_0013:DNIC:DNPT:Message:2025-03-28T17:59:00.000-03:00,Judicial records response:USER_0021:DNPT:DNIC:Message:2025-03-31T09:09:00.000-03:00,Notify appointment result:USER_0001:DNIC:AGESIC:Message:2025-03-31T11:25:00.000-03:00
Get available dates_REQ:USER_0004:AGESIC:DNIC:Message:2025-02-07T13:10:00.000-03:00,Get available dates_RES:USER_0006:DNIC:AGESIC:Message:2025-02-07T13:51:00.000-03:00,Confirm appointment_REQ:USER_0005:AGESIC:DNIC:Message:2025-02-07T14:21:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-02-07T14:56:00.000-03:00,Has judicial records:USER_0016:DNIC:DNPT:Message:2025-02-07T15:13:00.000-03:00,Judicial records response:USER_0020:DNPT:DNIC:Message:2025-02-07T15:21:00.000-03:00,Notify appointment result:USER_0004:DNIC:AGESIC:Message:2025-02-07T16:29:00.000-03:00
Get available dates_REQ:USER_0002:AGESIC:DNIC:Message:2025-07-04T10:53:00.000-03:00,Get available dates_RES:USER_0007:DNIC:AGESIC:Message:2025-07-04T11:12:00.000-03:00,Confirm appointment_REQ:USER_0005:AGESIC:DNIC:Message:2025-07-04T11:19:00.000-03:00,Confirm appointment_RES:USER_0000:DNIC:AGESIC:Message:2025-07-04T12:01:00.000-03:00
Get available dates_REQ:USER_0000:AGESIC:DNIC:Message:2025-07-01T14:21:00.000-03:00,Get available dates_RES:USER_0006:DNIC:AGESIC:Message:2025-07-01T14:53:00.000-03:00,Confirm appointment_REQ:USER_0008:AGESIC:DNIC:Message:2025-07-01T15:19:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-07-01T15:31:00.000-03:00,Has judicial records:USER_0013:DNIC:DNPT:Message:2025-07-01T16:02:00.000-03:00,Judicial records response:USER_0020:DNPT:DNIC:Message:2025-07-01T17:23:00.000-03:00,Notify appointment result:USER_0000:DNIC:AGESIC:Message:2025-07-02T09:29:00.000-03:00
Get available dates_REQ:USER_0000:AGESIC:DNIC:Message:2025-12-09T12:13:00.000-03:00,Get available dates_RES:USER_0009:DNIC:AGESIC:Message:2025-12-09T13:04:00.000-03:00,Confirm appointment_REQ:USER_0005:AGESIC:DNIC:Message:2025-12-09T15:09:00.000-03:00,Confirm appointment_RES:USER_0002:DNIC:AGESIC:Message:2025-12-10T09:28:00.000-03:00,Has judicial records:USER_0015:DNIC:DNPT:Message:2025-12-10T11:14:00.000-03:00,Judicial records response:USER_0020:DNPT:DNIC:Message:2025-12-10T11:42:00.000-03:00,Notify appointment result:USER_0001:DNIC:AGESIC:Message:2025-12-10T12:02:00.000-03:00
Get available dates_REQ:USER_0000:AGESIC:DNIC:Message:2025-04-21T15:26:00.000-03:00,Get available dates_RES:USER_0010:DNIC:AGESIC:Message:2025-04-21T16:29:00.000-03:00,Confirm appointment_REQ:USER_0009:AGESIC:DNIC:Message:2025-04-21T17:30:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-04-22T09:14:00.000-03:00,Has judicial records:USER_0014:DNIC:DNPT:Message:2025-04-22T11:00:00.000-03:00,Judicial records response:USER_0020:DNPT:DNIC:Message:2025-04-22T11:58:00.000-03:00,Notify appointment result:USER_0000:DNIC:AGESIC:Message:2025-04-22T15:51:00.000-03:00
Get available dates_REQ:USER_0000:AGESIC:DNIC:Message:2025-05-08T17:10:00.000-03:00,Get available dates_RES:USER_0010:DNIC:AGESIC:Message:2025-05-09T09:19:00.000-03:00,Confirm appointment_REQ:USER_0009:AGESIC:DNIC:Message:2025-05-09T09:39:00.000-03:00,Confirm appointment_RES:USER_0001:DNIC:AGESIC:Message:2025-05-09T09:56:00.000-03:00,Has judicial records:USER_0013:DNIC:DNPT:Message:2025-05-09T10:54:00.000-03:00,Judicial records response:USER_0019:DNPT:DNIC:Message:2025-05-09T11:24:00.000-03:00,Notify appointment result:USER_0004:DNIC:AGESIC:Message:2025-05-09T11:58:00.000-03:00
Get available dates_REQ:USER_0001:AGESIC:DNIC:Message:2025-08-15T15:04:00.000-03:00,Get available dates_RES:USER_0008:DNIC:AGESIC:Message:2025-08-15T15:22:00.000-03:00,Confirm appointment_REQ:USER_0006:AGESIC:DNIC:Message:2025-08-15T16:13:00.000-03:00,Confirm appointment_RES:USER_0000:DNIC:AGESIC:Message:2025-08-15T16:44:00.000-03:00,Has judicial records:USER_0012:DNIC:DNPT:Message:2025-08-15T17:14:00.000-03:00,Judicial records response:USER_0018:DNPT:DNIC:Message:2025-08-15T17:31:00.000-03:00,Notify appointment result:USER_0003:DNIC:AGESIC:Message:2025-08-18T09:12:00.000-03:00
Get available dates_REQ:USER_0003:AGESIC:DNIC:Message:2025-06-09T14:10:00.000-03:00,Get available dates_RES:USER_0010:DNIC:AGESIC:Message:2025-06-09T15:23:00.000-03:00,Confirm appointment_REQ:USER_0009:AGESIC:DNIC:Message:2025-06-09T16:44:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-06-09T17:53:00.000-03:00,Has judicial records:USER_0015:DNIC:DNPT:Message:2025-06-10T09:02:00.000-03:00,Judicial records response:USER_0023:DNPT:DNIC:Message:2025-06-10T12:21:00.000-03:00,Notify appointment result:USER_0001:DNIC:AGESIC:Message:2025-06-10T13:10:00.000-03:00
Get available dates_REQ:USER_0002:AGESIC:DNIC:Message:2025-09-23T13:21:00.000-03:00,Get available dates_RES:USER_0011:DNIC:AGESIC:Message:2025-09-23T14:41:00.000-03:00,Confirm appointment_REQ:USER_0009:AGESIC:DNIC:Message:2025-09-23T15:03:00.000-03:00,Confirm appointment_RES:USER_0004:DNIC:AGESIC:Message:2025-09-23T15:17:00.000-03:00,Has judicial records:USER_0017:DNIC:DNPT:Message:2025-09-23T15:48:00.000-03:00,Judicial records response:USER_0018:DNPT:DNIC:Message:2025-09-23T17:02:00.000-03:00,Notify appointment result:USER_0004:DNIC:AGESIC:Message:2025-09-23T17:51:00.000-03:00
Get available dates_REQ:USER_0001:AGESIC:DNIC:Message:2025-12-19T12:14:00.000-03:00,Get available dates_RES:USER_0007:DNIC:AGESIC:Message:2025-12-19T12:58:00.000-03:00,Confirm appointment_REQ:USER_0011:AGESIC:DNIC:Message:2025-12-19T13:09:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-12-19T15:19:00.000-03:00,Has judicial records:USER_0015:DNIC:DNPT:Message:2025-12-19T16:00:00.000-03:00,Judicial records response:USER_0021:DNPT:DNIC:Message:2025-12-19T16:06:00.000-03:00,Notify appointment result:USER_0004:DNIC:AGESIC:Message:2025-12-19T17:30:00.000-03:00
Get available dates_REQ:USER_0002:AGESIC:DNIC:Message:2025-12-29T13:16:00.000-03:00,Get available dates_RES:USER_0006:DNIC:AGESIC:Message:2025-12-29T16:02:00.000-03:00,Confirm appointment_REQ:USER_0005:AGESIC:DNIC:Message:2025-12-29T17:00:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-12-30T09:16:00.000-03:00,Has judicial records:USER_0016:DNIC:DNPT:Message:2025-12-30T09:53:00.000-03:00,Judicial records response:USER_0019:DNPT:DNIC:Message:2025-12-30T10:37:00.000-03:00,Notify appointment result:USER_0001:DNIC:AGESIC:Message:2025-12-30T11:08:00.000-03:00
Get available dates_REQ:USER_0000:AGESIC:DNIC:Message:2025-08-15T16:40:00.000-03:00,Get available dates_RES:USER_0007:DNIC:AGESIC:Message:2025-08-15T16:57:00.000-03:00,Confirm appointment_REQ:USER_0010:AGESIC:DNIC:Message:2025-08-15T17:58:00.000-03:00,Confirm appointment_RES:USER_0002:DNIC:AGESIC:Message:2025-08-18T09:09:00.000-03:00,Has judicial records:USER_0014:DNIC:DNPT:Message:2025-08-18T13:49:00.000-03:00,Judicial records response:USER_0018:DNPT:DNIC:Message:2025-08-18T14:40:00.000-03:00,Notify appointment result:USER_0003:DNIC:AGESIC:Message:2025-08-18T15:11:00.000-03:00
Get available dates_REQ:USER_0004:AGESIC:DNIC:Message:2025-02-19T15:34:00.000-03:00,Get available dates_RES:USER_0008:DNIC:AGESIC:Message:2025-02-20T09:20:00.000-03:00,Confirm appointment_REQ:USER_0007:AGESIC:DNIC:Message:2025-02-20T10:55:00.000-03:00,Confirm appointment_RES:USER_0002:DNIC:AGESIC:Message:2025-02-20T13:21:00.000-03:00,Has judicial records:USER_0014:DNIC:DNPT:Message:2025-02-20T13:46:00.000-03:00,Judicial records response:USER_0018:DNPT:DNIC:Message:2025-02-20T14:21:00.000-03:00,Notify appointment result:USER_0003:DNIC:AGESIC:Message:2025-02-20T14:57:00.000-03:00
Get available dates_REQ:USER_0003:AGESIC:DNIC:Message:2025-01-27T12:26:00.000-03:00,Get available dates_RES:USER_0008:DNIC:AGESIC:Message:2025-01-27T14:18:00.000-03:00,Confirm appointment_REQ:USER_0011:AGESIC:DNIC:Message:2025-01-27T15:30:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-01-28T09:16:00.000-03:00,Has judicial records:USER_0012:DNIC:DNPT:Message:2025-01-28T09:45:00.000-03:00,Judicial records response:USER_0019:DNPT:DNIC:Message:2025-01-28T10:09:00.000-03:00,Notify Appointment Cancellation:USER_0006:DNIC:AGESIC:Message:2025-01-28T12:19:00.000-03:00
Get available dates_REQ:USER_0000:AGESIC:DNIC:Message:2025-09-29T10:45:00.000-03:00,Get available dates_RES:USER_0007:DNIC:AGESIC:Message:2025-09-29T12:16:00.000-03:00,Confirm appointment_REQ:USER_0007:AGESIC:DNIC:Message:2025-09-29T13:05:00.000-03:00,Confirm appointment_RES:USER_0003:DNIC:AGESIC:Message:2025-09-30T09:20:00.000-03:00,Has judicial records:USER_0012:DNIC:DNPT:Message:2025-09-30T10:37:00.000-03:00,Judicial records response:USER_0020:DNPT:DNIC:Message:2025-09-30T10:50:00.000-03:00,Notify appointment result:USER_0003:DNIC:AGESIC:Message:2025-09-30T11:36:00.000-03:00
Get available dates_REQ:USER_0004:AGESIC:DNIC:Message:2025-12-09T09:41:00.000-03:00,Get available dates_RES:USER_0010:DNIC:AGESIC:Message:2025-12-09T11:20:00.000-03:00,Confirm appointment_REQ:USER_0005:AGESIC:DNIC:Message:2025-12-09T12:16:00.000-03:00,Confirm appointment_RES:USER_0002:DNIC:AGESIC:Message:2025-12-09T12:45:00.000-03:00,Has judicial records:USER_0012:DNIC:DNPT:Message:2025-12-09T14:44:00.000-03:00,Judicial records response:USER_0020:DNPT:DNIC:Message:2025-12-09T15:46:00.000-03:00,Notify appointment result:USER_0002:DNIC:AGESIC:Message:2025-12-09T16:09:00.000-03:00
Get available dates_REQ:USER_0002:AGESIC:DNIC:Message:2025-04-11T13:45:00.000-03:00,Get available dates_RES:USER_0008:DNIC:AGESIC:Message:2025-04-11T14:21:00.000-03:00,Confirm appointment_REQ:USER_0005:AGESIC:DNIC:Message:2025-04-11T15:21:00.000-03:00,Confirm appointment_RES:USER_0002:DNIC:AGESIC:Message:2025-04-11T15:38:00.000-03:00,Has judicial records:USER_0013:DNIC:DNPT:Message:2025-04-11T15:57:00.000-03:00,Judicial records response:USER_0021:DNPT:DNIC:Message:2025-04-14T09:01:00.000-03:00,Notify appointment result:USER_0004:DNIC:AGESIC:Message:2025-04-14T09:38:00.000-03:00
